BuildingName,Date,InfectedNum,TotalVistedNum,percentage
ARC,1,2340,219,9
ARC,2,1921,7,0
ARC,3,1820,202,11
ARC,4,1883,300,15
ARC,5,2226,148,6
ARC,6,2029,6,0
DEN,1,1959,345,17
DEN,2,2062,69,3
DEN,3,1608,321,19
DEN,4,2180,46,2
DEN,5,1746,79,4
DEN,6,1950,197,10
GRB,1,2038,363,17
GRB,2,1651,33,1
GRB,3,2364,217,9
GRB,4,2126,230,10
GRB,5,1620,174,10
GRB,6,1953,92,4
GWN,1,1660,77,4
GWN,2,1646,318,19
GWN,3,2321,252,10
GWN,4,1683,294,17
GWN,5,1938,13,0
GWN,6,2249,59,2
JHN,1,1815,69,3
JHN,2,1757,260,14
JHN,3,1622,82,5
JHN,4,1886,243,12
JHN,5,1718,310,18
JHN,6,1929,94,4
KNE,1,2177,264,12
KNE,2,2177,193,8
KNE,3,2280,190,8
KNE,4,2391,150,6
KNE,5,1726,282,16
KNE,6,1933,325,16
MGH,1,1717,175,10
MGH,2,2027,289,14
MGH,3,2154,50,2
MGH,4,1973,222,11
MGH,5,1880,157,8
MGH,6,1675,223,13
MNY,1,2313,8,0
MNY,2,2089,235,11
MNY,3,2062,319,15
MNY,4,2038,349,17
MNY,5,1730,1,0
MNY,6,1971,29,1
OUG,1,1869,347,18
OUG,2,1847,121,6
OUG,3,1625,263,16
OUG,4,2067,369,17
OUG,5,2321,71,3
OUG,6,1685,237,14
PAR,1,1726,180,10
PAR,2,1715,78,4
PAR,3,2278,451,19
PAR,4,1701,169,9
PAR,5,2141,238,11
PAR,6,1850,251,13
RAI,1,1742,182,10
RAI,2,1911,13,0
RAI,3,1962,247,12
RAI,4,1923,173,8
RAI,5,1712,4,0
RAI,6,1786,269,15
SAV,1,2396,191,7
SAV,2,2123,210,9
SAV,3,2077,283,13
SAV,4,1859,29,1
SAV,5,2152,336,15
SAV,6,2399,475,19
SMI,1,2173,18,0
SMI,2,1971,143,7
SMI,3,2022,339,16
SMI,4,1762,123,6
SMI,5,1700,46,2
SMI,6,2364,292,12
SUZ,1,1687,22,1
SUZ,2,1923,280,14
SUZ,3,2157,64,2
SUZ,4,2195,198,9
SUZ,5,1691,155,9
SUZ,6,1978,211,10
